Sensor_48,Sensor_80,Sensor_112,Sensor_176,Sensor_87,Sensor_103,Sensor_88,Sensor_89,Sensor_104,Sensor_105,Sensor_91,Sensor_107,Label
133,159,145,575,175,97,270,436,325,364,1430,2742,left
142,154,153,567,176,116,286,455,365,401,1471,2775,left
137,154,148,581,196,112,300,483,353,413,1438,2703,left
136,151,148,580,189,122,297,471,355,419,1449,2761,left
132,155,148,570,187,122,298,480,355,431,1483,2747,left
140,158,145,570,200,112,305,496,363,431,1483,2715,left
143,158,142,585,207,122,313,502,367,444,1528,2733,left
131,150,147,570,198,130,303,507,369,438,1498,2791,left
135,153,148,578,201,117,314,557,370,464,1560,2830,left
137,153,147,580,181,124,303,572,394,507,1609,2835,left
129,154,142,572,195,125,315,530,374,474,1607,2958,left
133,152,143,563,208,140,333,552,361,461,1650,3057,left
132,153,145,583,218,143,341,562,373,477,1658,3032,left
129,146,151,562,228,150,338,558,374,492,1641,2979,left
133,125,148,571,208,151,338,563,372,468,1662,3068,left
129,147,145,584,215,151,331,563,410,473,1670,3113,left
125,143,149,588,225,151,345,570,385,486,1666,3087,left
135,150,143,588,216,165,339,568,385,469,1679,3075,left
133,149,140,574,215,158,334,558,388,455,1666,3066,left
128,148,145,585,220,170,335,546,381,452,1593,2902,left
128,152,152,569,143,108,230,385,291,322,1543,3554,left
133,147,146,553,163,77,269,438,319,355,1679,3654,left
125,149,147,562,159,77,269,471,343,418,1723,3661,left
126,151,144,580,176,127,272,506,362,528,1604,2789,left
131,152,142,589,224,154,297,510,366,496,1677,3082,left
125,145,148,589,203,134,285,489,351,484,1667,3141,left
127,149,140,583,218,118,312,503,348,478,1688,3121,left
132,143,143,577,210,143,300,490,361,499,1659,3080,left
124,150,149,589,175,141,251,445,325,448,1590,3221,left
129,144,161,465,0,30,47,167,207,253,704,2274,left
124,150,155,408,7,130,138,281,287,328,1010,2450,left
125,135,114,516,252,261,296,388,339,405,635,716,left
121,148,107,448,284,295,342,450,376,410,1130,1455,left
122,139,106,433,330,290,419,518,377,419,1087,1527,left
118,129,118,421,320,306,421,524,391,422,1167,1537,left
121,133,118,437,295,302,397,533,401,428,1096,1302,left
116,135,128,405,327,316,423,488,376,392,1454,2021,left
116,137,121,612,353,326,408,492,413,445,1206,1733,left
114,136,133,497,353,323,442,561,410,472,1739,2469,left
114,143,135,458,263,267,332,462,363,421,945,1073,left
121,135,120,465,266,250,285,385,325,348,586,541,left
118,137,126,497,253,266,311,434,363,395,779,919,left
114,136,131,494,256,288,322,423,385,417,651,675,left
116,142,115,488,290,319,377,462,397,422,874,956,left
117,138,129,481,293,313,381,452,402,451,915,1032,left
120,141,132,485,290,305,389,461,393,445,932,1057,left
112,141,130,495,294,305,386,454,386,430,946,1067,left
119,145,130,465,218,226,286,364,305,352,1072,1409,left
115,139,139,445,243,278,320,437,353,368,1046,1421,left
111,145,136,450,261,280,345,457,349,378,1071,1474,left
114,145,131,456,261,284,363,473,352,393,1057,1411,left
114,140,131,452,272,303,372,471,368,391,1072,1444,left
109,140,142,448,276,283,365,472,363,389,1083,1494,left
96,142,139,452,272,299,372,461,369,391,1133,1557,left
115,147,134,463,285,295,371,479,357,391,1125,1525,left
114,138,137,477,278,298,364,486,368,398,1120,1529,left
115,141,137,453,284,292,367,469,343,388,1112,1546,left
113,147,134,472,287,295,370,481,365,391,1127,1533,left
105,151,137,462,282,300,368,487,370,385,1143,1557,left
115,142,140,459,276,303,362,488,366,392,1155,1572,left
111,147,140,465,278,300,361,494,381,389,1125,1537,left
119,148,124,468,285,300,379,483,362,404,1133,1530,left
113,142,140,470,268,303,365,476,370,396,1133,1561,left
114,145,140,460,272,304,366,488,382,405,1150,1590,left
114,146,135,470,283,325,376,514,406,445,1102,1379,left
112,149,138,487,300,286,389,503,382,415,918,1086,left
117,129,135,476,296,290,374,459,381,403,830,1005,left
113,140,143,468,284,290,368,472,381,388,787,984,left
118,149,137,471,298,277,382,472,373,380,787,950,left
118,146,132,493,304,296,407,501,397,400,770,814,left
115,144,133,478,259,277,340,444,362,355,769,908,left
97,144,140,477,263,298,331,439,371,364,763,906,left
114,146,135,477,268,293,343,444,365,355,759,864,left
116,144,134,480,281,303,357,466,382,368,722,796,left
115,143,134,404,249,317,364,500,398,402,1074,1355,left
109,144,141,466,276,312,380,488,404,400,1114,1391,left
113,149,139,465,253,306,358,487,391,402,1128,1439,left
115,146,136,469,265,297,361,478,385,400,1095,1394,left
111,146,138,445,258,300,357,488,391,406,1087,1391,left
106,142,130,460,264,293,360,492,384,399,1076,1382,left
111,142,133,465,260,305,348,487,381,396,1049,1338,left
111,145,138,458,264,307,352,483,395,402,1059,1368,left
111,142,133,454,257,313,355,479,397,405,1039,1330,left
114,145,136,467,268,309,356,499,393,404,1086,1393,left
116,126,128,471,273,313,366,499,394,406,1119,1408,left
111,137,147,464,265,309,361,497,394,405,1089,1390,left
109,146,136,467,275,306,372,497,390,398,1115,1402,left
114,145,135,410,42,45,32,165,167,279,977,2438,left
114,142,153,478,22,0,172,297,231,248,1559,2949,left
99,146,153,590,93,24,250,430,339,397,1417,2494,left
117,154,149,613,205,109,331,575,379,477,1539,2139,left
114,147,147,613,211,112,338,557,379,458,1506,2193,left
118,142,141,607,212,125,339,571,380,487,1493,2152,left
116,147,150,615,166,86,291,475,338,412,1518,2390,left
99,144,145,623,175,92,302,503,354,436,1549,2421,left
121,151,145,628,179,92,317,533,349,431,1559,2431,left
120,138,147,625,185,95,313,517,365,432,1541,2431,left
119,144,142,619,191,98,320,504,362,432,1539,2408,left
118,148,137,621,199,90,307,502,341,391,1604,2520,left
119,148,139,642,182,87,291,485,352,414,1424,2317,left
116,134,143,596,125,28,282,499,356,438,1796,3564,left
116,143,144,611,3,0,228,379,326,382,1550,3688,left
115,145,141,625,49,0,265,452,361,401,1579,3536,left
118,138,149,618,65,5,292,466,380,422,1650,3686,left
115,138,154,623,59,0,254,453,350,411,1701,3786,left
111,141,201,619,50,0,250,449,358,425,1741,3924,left
119,149,137,622,197,104,336,593,402,493,1763,3094,left
119,149,141,623,216,132,347,569,390,517,1587,2634,left
113,144,142,623,228,121,347,562,392,486,1676,2812,left
123,142,137,633,243,137,357,565,404,499,1675,2814,left
116,136,135,616,176,93,294,493,367,436,1364,2298,left
118,146,134,616,207,118,282,487,387,473,1651,2864,left
113,140,137,611,207,102,302,494,380,469,1654,2836,left
113,141,131,619,221,105,315,517,392,461,1695,2838,left
115,135,148,622,215,112,326,514,401,488,1693,2872,left
108,142,135,628,233,129,316,528,382,477,1722,2899,left
117,140,129,644,249,140,320,525,383,487,1832,3107,left
115,140,130,630,242,150,327,538,379,503,1845,3087,left
116,141,138,618,250,147,339,543,392,505,1831,3097,left
111,135,132,632,254,155,336,544,386,503,1867,3160,left
117,135,126,637,250,151,344,558,389,502,1870,3178,left
118,135,127,628,240,159,340,558,398,504,1877,3197,left
112,135,132,629,254,159,341,550,391,500,1853,3205,left
113,138,135,622,258,162,344,555,397,503,1880,3155,left
116,135,130,638,251,159,356,555,398,508,1893,3197,left
112,132,135,627,207,172,341,559,402,520,1893,3192,left
113,135,130,620,241,142,334,568,399,513,1902,3220,left
112,140,133,614,143,65,246,374,269,311,1823,3793,left
114,130,125,610,142,44,253,395,303,346,1845,3790,left
117,130,131,585,156,54,271,456,315,369,2248,4662,left
112,133,130,622,183,88,296,506,357,461,1654,2794,left
109,131,128,626,184,98,299,494,357,433,1680,2804,left
119,122,129,628,204,101,300,512,363,447,1673,2833,left
108,129,135,597,213,103,320,520,368,450,1761,3017,left
107,129,130,617,202,103,309,515,376,436,1753,3027,left
108,135,127,627,202,94,315,514,364,424,1759,3025,left
109,132,127,627,212,100,315,513,367,427,1746,3051,left
107,130,136,619,203,94,306,517,362,435,1797,3162,left
112,133,127,623,211,98,315,527,363,424,1855,3215,left
110,127,125,626,207,104,325,519,388,437,1855,3200,left
108,128,128,621,218,107,327,529,379,440,1869,3184,left
106,130,127,622,208,108,311,523,380,446,1851,3223,left
108,134,122,630,211,105,319,549,377,434,1886,3274,left
109,128,122,635,209,104,317,534,383,448,1899,3271,left
107,125,127,624,205,108,309,542,386,444,1896,3317,left
105,132,122,632,230,109,336,566,382,469,1914,3267,left
109,128,122,648,228,115,345,558,381,451,1890,3248,left
109,125,122,631,216,108,325,557,386,447,1924,3323,left
106,137,124,627,209,115,317,530,382,456,1899,3344,left
104,135,125,615,223,112,332,552,383,454,1944,3351,left
110,131,119,624,216,115,328,539,386,456,1929,3306,left
106,135,129,624,211,127,314,545,392,451,2191,3934,left
111,138,124,603,202,128,270,488,319,404,2791,5328,left
83,136,126,628,224,118,348,599,392,514,1862,3249,left
105,127,122,633,229,117,340,593,388,494,2029,3553,left
103,124,124,625,225,120,332,597,400,503,2007,3559,left
106,127,128,624,229,134,347,597,405,499,2007,3546,left
105,130,125,623,221,134,346,600,401,478,2002,3608,left
105,133,126,620,226,135,348,616,403,497,2026,3666,left
108,127,131,613,243,135,352,617,406,505,2037,3654,left
